ProductID,Price,Popularity,Description,Category,Brand
10002,0.85,413,INFLATABLE POLITICAL GLOBE ,Other,GenericBrand
10080,0.413,243,GROOVY CACTUS INFLATABLE,Other,GenericBrand
10120,0.21,192,DOGGY RUBBER,Other,GenericBrand
10125,0.7832758620689655,755,MINI FUNKY DESIGN TAPES,Other,GenericBrand
10133,0.5321739130434783,1694,COLOURING PENCILS BROWN TUBE,Other,GenericBrand
10135,1.2196491228070174,1285,COLOURING PENCILS BROWN TUBE,Other,GenericBrand
11001,1.8596969696969696,783,ASSTD DESIGN RACING CAR PEN,Other,GenericBrand
15030,0.29,83,FAN BLACK FRAME ,Decor,GenericBrand
15034,0.139,1146,PAPER POCKET TRAVELING FAN ,Other,GenericBrand
15036,0.8138167938931298,4528,ASSORTED COLOURS SILK FAN,Other,GenericBrand
15039,0.85,436,SANDALWOOD FAN,Other,GenericBrand
16008,0.1389090909090909,948,SMALL FOLDING SCISSOR(POINTED EDGE),Other,GenericBrand
16010,0.12,30,FOLDING CAMPING SCISSOR W/KNIF & S,Other,GenericBrand
16011,0.21,690,ANIMAL STICKERS,Other,GenericBrand
16012,0.21,605,FOOD/DRINK SPONGE STICKERS,Other,GenericBrand
16014,0.41756097560975614,468,SMALL CHINESE STYLE SCISSOR,Other,GenericBrand
16015,0.4933333333333333,229,MEDIUM CHINESE STYLE SCISSOR,Other,GenericBrand
16016,0.8477966101694915,703,LARGE CHINESE STYLE SCISSOR,Other,GenericBrand
16043,0.12,24,POP ART PUSH DOWN RUBBER ,Other,GenericBrand
16046,0.85,64,TEATIME PEN CASE & PENS,Home,GenericBrand
16048,0.1346341463414634,812,TEATIME ROUND PENCIL SHARPENER ,Home,GenericBrand
16049,0.42,72,TEATIME GEL PENS ASST,Home,GenericBrand
16052,0.3625,96,TEATIME PUSH DOWN RUBBER,Home,GenericBrand
16054,0.13034482758620689,842,POPART RECT PENCIL SHARPENER ASST,Other,GenericBrand
16216,0.11478260869565218,226,LETTER SHAPE PENCIL SHARPENER,Other,GenericBrand
16218,0.08352941176470588,160,CARTOON  PENCIL SHARPENERS,Other,GenericBrand
16219,0.14,215,HOUSE SHAPE PENCIL SHARPENER,Other,GenericBrand
16225,1.2212676056338028,424,RATTLE SNAKE EGGS,Other,GenericBrand
16235,0.21688524590163932,660,RECYCLED PENCIL WITH RABBIT ERASER,Other,GenericBrand
16236,0.21,988,KITTY PENCIL ERASERS,Other,GenericBrand
16237,0.21,2525,SLEEPING CAT ERASERS,Other,GenericBrand
16238,0.23727272727272727,1147,PARTY TIME PENCIL ERASERS,PartyDecor,GenericBrand
16254,1.0233333333333332,31,TRANSPARENT ACRYLIC TAPE DISPENSER,Other,GenericBrand
16259,0.08,82,PIECE OF CAMO STATIONERY SET,Other,GenericBrand
17003,0.33465753424657535,3913,BROCADE RING PURSE ,Other,GenericBrand
17021,0.3,831,NAMASTE SWAGAT INCENSE,Other,GenericBrand
17038,0.1,41,PORCELAIN BUDAH INCENSE HOLDER,Other,GenericBrand
17096,0.21,65,ASSORTED LAQUERED INCENSE HOLDERS,Other,GenericBrand
17174,0.42,9,ASSTD RASTA KEY-CHAINS,Other,GenericBrand
18007,0.18,270,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Other,GenericBrand
20615,1.4831428571428573,231,BLUE POLKADOT PASSPORT COVER,Other,GenericBrand
20616,1.3408333333333333,86,CHERRY BLOSSOM PASSPORT COVER,Other,GenericBrand
20617,2.224615384615385,66,FIRST CLASS PASSPORT COVER ,Other,GenericBrand
20618,2.0707142857142857,68,QUEEN OF THE SKIES PASSPORT COVER ,Other,GenericBrand
20619,2.3833333333333333,94,TROPICAL PASSPORT COVER ,Other,GenericBrand
20622,2.03,114,VIPPASSPORT COVER ,Other,GenericBrand
20652,1.4333333333333333,147,BLUE POLKADOT LUGGAGE TAG ,Other,GenericBrand
20653,1.6533333333333333,33,CHERRY BLOSSOM LUGGAGE TAG,Other,GenericBrand
20654,1.2341666666666666,105,FIRST CLASS LUGGAGE TAG ,Other,GenericBrand
20655,1.31,89,QUEEN OF SKIES LUGGAGE TAG,Other,GenericBrand
20657,1.3513636363636363,61,TROPICAL LUGGAGE TAG,Other,GenericBrand
20658,1.25,327,RED RETROSPOT LUGGAGE TAG,Other,Retrospot
20659,1.5499999999999998,94,ECONOMY LUGGAGE TAG,Other,GenericBrand
20661,4.654,9,BLUE POLKADOT PURSE ,Other,GenericBrand
20662,4.086,11,FIRST CLASS HOLIDAY PURSE ,Seasonal,GenericBrand
20663,3.896666666666667,3,QUEEN OF THE SKIES HOLIDAY PURSE ,Seasonal,GenericBrand
20664,2.9500000000000006,6,TROPICAL HOLIDAY PURSE ,Seasonal,GenericBrand
20665,2.944520547945206,340,RED RETROSPOT PURSE ,Other,Retrospot
20666,2.95,4,ECONOMY HOLIDAY PURSE,Seasonal,GenericBrand
20667,2.95,1,CHERRY BLOSSOM PURSE,Other,GenericBrand
20668,0.12000000000000001,2082,DISCO BALL CHRISTMAS DECORATION,Seasonal,GenericBrand
20669,1.25,195,RED HEART LUGGAGE TAG,HeartDecoration,GenericBrand
20670,3.896666666666667,8,VIP HOLIDAY PURSE,Seasonal,GenericBrand
20671,1.25,10,BLUE TEATIME PRINT BOWL ,Home,GenericBrand
20674,1.2582876712328768,994,GREEN POLKADOT BOWL,Other,GenericBrand
20675,1.255734597156398,1492,BLUE POLKADOT BOWL,Other,GenericBrand
20676,1.2632967032967033,2128,RED RETROSPOT BOWL,Other,Retrospot
20677,1.2800995024875623,1496,PINK POLKADOT BOWL,Other,GenericBrand
20678,1.65,4,LARGE BLACK DIAMANTE HAIRSLIDE,Other,GenericBrand
20679,5.900568181818182,1091,EDWARDIAN PARASOL RED,Other,GenericBrand
20681,3.25,123,PINK POLKADOT CHILDRENS UMBRELLA,Toys,GenericBrand
20682,3.32,940,RED RETROSPOT CHILDRENS UMBRELLA,Toys,Retrospot
20684,3.25,77,STRAWBERRY DREAM CHILDS UMBRELLA,Toys,GenericBrand
20685,7.751829268292683,2581,DOORMAT RED RETROSPOT,Other,Retrospot
20686,3.3028125,252,DOLLY MIXTURE CHILDREN'S UMBRELLA,Toys,GenericBrand
20694,3.75,36,FLORAL PINK MONSTER,Other,GenericBrand
20695,4.25,5,FLORAL BLUE MONSTER,Other,GenericBrand
20696,3.75,32,FLORAL SOFT CAR TOY,Toys,GenericBrand
20697,2.55,17,LITTLE GREEN MONSTER SOFT TOY,Toys,GenericBrand
20698,2.55,16,LITTLE PINK MONSTER SOFT TOY,Toys,GenericBrand
20699,2.55,29,MOUSEY LONG LEGS SOFT TOY,Toys,GenericBrand
20700,3.75,10,GREEN CAT FLORAL CUSHION COVER ,Other,GenericBrand
20701,3.75,6,PINK CAT FLORAL CUSHION COVER ,Other,GenericBrand
20702,4.25,127,PINK PADDED MOBILE,Other,GenericBrand
20703,4.25,-6,BLUE PADDED SOFT MOBILE,Other,GenericBrand
20704,4.825,207,MR ROBOT SOFT TOY,Toys,GenericBrand
20705,4.708620689655173,142,MRS ROBOT SOFT TOY,Toys,GenericBrand
20707,1.5346875,154,CRAZY DAISY HEART DECORATION,HeartDecoration,GenericBrand
20711,2.0272689075630255,1776,JUMBO BAG TOYS ,Toys,GenericBrand
20712,2.056423982869379,3749,JUMBO BAG WOODLAND ANIMALS,Other,GenericBrand
20713,2.0550271739130435,2928,JUMBO BAG OWLS,Other,GenericBrand
20716,1.25,214,PARTY FOOD SHOPPER BAG,PartyDecor,GenericBrand
20717,1.2807391304347826,1464,STRAWBERRY SHOPPER BAG,Other,GenericBrand
